                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.7387,                 1.3322,                 1.3661,                0.38579,                0.40268,                0.35177,                0.17058,                 1.9034,                 1.7037,                 1.3423,             0.00081181,             0.00081181,             0.00081181
                     56,                 1.5559,                 1.2316,                 1.2777,                0.38579,                0.40268,                0.35177,                0.17058,                 1.9034,                 1.7037,                 1.3423,             0.00081001,             0.00081001,             0.00081001
                     57,                 1.5515,                 1.2358,                 1.2496,                0.38579,                0.40268,                0.35177,                0.17058,                 1.9034,                 1.7037,                 1.3423,             0.00080821,             0.00080821,             0.00080821
                     58,                  1.481,                 1.2569,                 1.2447,                0.30344,                0.34374,                0.30486,                0.12919,                 2.0537,                 1.9163,                 1.4063,             0.00080641,             0.00080641,             0.00080641
                     59,                 1.5604,                 1.2768,                 1.3491,                0.30344,                0.34374,                0.30486,                0.12919,                 2.0537,                 1.9163,                 1.4063,             0.00080461,             0.00080461,             0.00080461
                     60,                 1.5043,                 1.2992,                 1.2627,                0.30344,                0.34374,                0.30486,                0.12919,                 2.0537,                 1.9163,                 1.4063,             0.00080281,             0.00080281,             0.00080281
                     61,                 1.4273,                 1.1622,                 1.2336,                0.30344,                0.34374,                0.30486,                0.12919,                 2.0537,                 1.9163,                 1.4063,             0.00080101,             0.00080101,             0.00080101
                     62,                  1.591,                 1.2811,                 1.2667,                0.26942,                0.37249,                0.27787,                0.11686,                 2.0517,                 1.9522,                 1.3993,             0.00079921,             0.00079921,             0.00079921
                     63,                 1.5157,                 1.2051,                 1.2214,                0.26942,                0.37249,                0.27787,                0.11686,                 2.0517,                 1.9522,                 1.3993,             0.00079741,             0.00079741,             0.00079741
                     64,                 1.5628,                 1.3397,                 1.2929,                0.26942,                0.37249,                0.27787,                0.11686,                 2.0517,                 1.9522,                 1.3993,             0.00079561,             0.00079561,             0.00079561
                     65,                 1.4947,                 1.1702,                 1.2592,                0.26942,                0.37249,                0.27787,                0.11686,                 2.0517,                 1.9522,                 1.3993,             0.00079381,             0.00079381,             0.00079381
                     66,                 1.3671,                 1.1716,                 1.1901,                0.34881,                0.34516,                 0.3032,                0.12877,                 1.8929,                 1.8473,                 1.3032,             0.00079201,             0.00079201,             0.00079201
                     67,                 1.4785,                 1.2368,                 1.2143,                0.34881,                0.34516,                 0.3032,                0.12877,                 1.8929,                 1.8473,                 1.3032,             0.00079021,             0.00079021,             0.00079021
                     68,                 1.3849,                 1.0765,                 1.1165,                0.34881,                0.34516,                 0.3032,                0.12877,                 1.8929,                 1.8473,                 1.3032,             0.00078841,             0.00078841,             0.00078841
                     69,                 1.3995,                 1.1561,                 1.2196,                0.34881,                0.34516,                 0.3032,                0.12877,                 1.8929,                 1.8473,                 1.3032,             0.00078661,             0.00078661,             0.00078661
                     70,                 1.4182,                 1.1205,                 1.2032,                0.39358,                0.40489,                0.38142,                0.16809,                 1.9296,                 1.6646,                 1.2597,             0.00078481,             0.00078481,             0.00078481
                     71,                 1.5441,                 1.1925,                 1.3002,                0.39358,                0.40489,                0.38142,                0.16809,                 1.9296,                 1.6646,                 1.2597,             0.00078301,             0.00078301,             0.00078301
                     72,                 1.5353,                 1.1407,                 1.2933,                0.39358,                0.40489,                0.38142,                0.16809,                 1.9296,                 1.6646,                 1.2597,             0.00078121,             0.00078121,             0.00078121
                     73,                  1.479,                 1.0804,                 1.2153,                0.39358,                0.40489,                0.38142,                0.16809,                 1.9296,                 1.6646,                 1.2597,             0.00077941,             0.00077941,             0.00077941
                     74,                 1.4709,                 1.1786,                 1.2399,                0.44262,                0.39453,                0.42075,                0.19585,                 1.9153,                 1.7834,                 1.2641,             0.00077761,             0.00077761,             0.00077761
                     75,                 1.4129,                 1.1106,                 1.1917,                0.44262,                0.39453,                0.42075,                0.19585,                 1.9153,                 1.7834,                 1.2641,             0.00077581,             0.00077581,             0.00077581
                     76,                 1.5856,                 1.2381,                 1.2555,                0.44262,                0.39453,                0.42075,                0.19585,                 1.9153,                 1.7834,                 1.2641,             0.00077401,             0.00077401,             0.00077401
                     77,                 1.4533,                 1.1319,                 1.2444,                0.44262,                0.39453,                0.42075,                0.19585,                 1.9153,                 1.7834,                 1.2641,             0.00077221,             0.00077221,             0.00077221
                     78,                 1.4129,                 1.2045,                 1.2259,                0.40392,                0.43845,                0.41448,                0.21087,                 1.7952,                  1.713,                 1.2281,             0.00077041,             0.00077041,             0.00077041
                     79,                 1.4464,                 1.1006,                 1.1971,                0.40392,                0.43845,                0.41448,                0.21087,                 1.7952,                  1.713,                 1.2281,             0.00076861,             0.00076861,             0.00076861
                     80,                  1.355,                   1.16,                 1.1742,                0.40392,                0.43845,                0.41448,                0.21087,                 1.7952,                  1.713,                 1.2281,             0.00076681,             0.00076681,             0.00076681
                     81,                 1.5237,                 1.1496,                 1.2142,                0.40392,                0.43845,                0.41448,                0.21087,                 1.7952,                  1.713,                 1.2281,             0.00076501,             0.00076501,             0.00076501
                     82,                  1.297,                 1.1759,                 1.1575,                0.51428,                0.34196,                0.37254,                 0.1754,                 1.9753,                 1.7268,                 1.3078,             0.00076321,             0.00076321,             0.00076321
                     83,                 1.4546,                 1.1851,                 1.1828,                0.51428,                0.34196,                0.37254,                 0.1754,                 1.9753,                 1.7268,                 1.3078,             0.00076141,             0.00076141,             0.00076141
                     84,                 1.3132,                 1.0477,                 1.1241,                0.51428,                0.34196,                0.37254,                 0.1754,                 1.9753,                 1.7268,                 1.3078,             0.00075961,             0.00075961,             0.00075961
                     85,                 1.4545,                 1.1801,                 1.2039,                0.51428,                0.34196,                0.37254,                 0.1754,                 1.9753,                 1.7268,                 1.3078,             0.00075782,             0.00075782,             0.00075782
                     86,                 1.6002,                 1.4619,                 1.2661,                0.46457,                0.46182,                0.42093,                0.18839,                 1.9359,                 1.6974,                 1.2612,             0.00075602,             0.00075602,             0.00075602
                     87,                 1.3629,                 1.0796,                 1.1749,                0.46457,                0.46182,                0.42093,                0.18839,                 1.9359,                 1.6974,                 1.2612,             0.00075422,             0.00075422,             0.00075422
                     88,                 1.4192,                 1.1598,                  1.196,                0.46457,                0.46182,                0.42093,                0.18839,                 1.9359,                 1.6974,                 1.2612,             0.00075242,             0.00075242,             0.00075242
                     89,                 1.3038,                 1.0762,                 1.1744,                0.46457,                0.46182,                0.42093,                0.18839,                 1.9359,                 1.6974,                 1.2612,             0.00075062,             0.00075062,             0.00075062
                     90,                 1.5023,                  1.226,                 1.2341,                0.50012,                0.44678,                0.44849,                0.21154,                  1.958,                 1.6302,                  1.254,             0.00074882,             0.00074882,             0.00074882
                     91,                 1.3302,                 1.1126,                 1.1867,                0.50012,                0.44678,                0.44849,                0.21154,                  1.958,                 1.6302,                  1.254,             0.00074702,             0.00074702,             0.00074702
                     92,                 1.3818,                 1.0369,                 1.1802,                0.50012,                0.44678,                0.44849,                0.21154,                  1.958,                 1.6302,                  1.254,             0.00074522,             0.00074522,             0.00074522
                     93,                 1.2694,                0.96675,                 1.1438,                0.50012,                0.44678,                0.44849,                0.21154,                  1.958,                 1.6302,                  1.254,             0.00074342,             0.00074342,             0.00074342
                     94,                 1.3517,                 1.0191,                 1.1581,                0.41073,                0.42402,                0.44298,                0.20508,                 1.9196,                 1.7571,                 1.2841,             0.00074162,             0.00074162,             0.00074162
                     95,                 1.2951,                0.92153,                 1.1082,                0.41073,                0.42402,                0.44298,                0.20508,                 1.9196,                 1.7571,                 1.2841,             0.00073982,             0.00073982,             0.00073982
                     96,                 1.3611,                 1.0009,                 1.1773,                0.41073,                0.42402,                0.44298,                0.20508,                 1.9196,                 1.7571,                 1.2841,             0.00073802,             0.00073802,             0.00073802
                     97,                  1.379,                0.96407,                 1.2003,                0.41073,                0.42402,                0.44298,                0.20508,                 1.9196,                 1.7571,                 1.2841,             0.00073622,             0.00073622,             0.00073622
                     98,                 1.3078,                0.96955,                 1.1819,                0.41687,                0.44766,                0.42564,                0.20334,                 1.8404,                 1.7324,                 1.2998,             0.00073442,             0.00073442,             0.00073442
                     99,                 1.3919,                 1.0386,                 1.2346,                0.41687,                0.44766,                0.42564,                0.20334,                 1.8404,                 1.7324,                 1.2998,             0.00073262,             0.00073262,             0.00073262
                    100,                 1.4411,                 1.0472,                 1.2157,                0.41687,                0.44766,                0.42564,                0.20334,                 1.8404,                 1.7324,                 1.2998,             0.00073082,             0.00073082,             0.00073082
                    101,                 1.3434,                0.98342,                 1.1409,                0.41687,                0.44766,                0.42564,                0.20334,                 1.8404,                 1.7324,                 1.2998,             0.00072902,             0.00072902,             0.00072902
                    102,                  1.405,                 1.0325,                 1.1844,                0.49286,                0.38817,                0.44976,                0.21237,                 1.8754,                 1.5732,                 1.2848,             0.00072722,             0.00072722,             0.00072722
                    103,                 1.4275,                  1.059,                 1.2695,                0.49286,                0.38817,                0.44976,                0.21237,                 1.8754,                 1.5732,                 1.2848,             0.00072542,             0.00072542,             0.00072542
                    104,                 1.2022,                0.89287,                 1.1193,                0.49286,                0.38817,                0.44976,                0.21237,                 1.8754,                 1.5732,                 1.2848,             0.00072362,             0.00072362,             0.00072362
                    105,                 1.2541,                0.91144,                 1.1413,                0.49286,                0.38817,                0.44976,                0.21237,                 1.8754,                 1.5732,                 1.2848,             0.00072182,             0.00072182,             0.00072182
                    106,                 1.2632,                0.90926,                  1.125,                0.51327,                0.46549,                0.49676,                0.23874,                  1.854,                 1.5591,                 1.2381,             0.00072002,             0.00072002,             0.00072002
                    107,                 1.3341,                0.96606,                 1.1707,                0.51327,                0.46549,                0.49676,                0.23874,                  1.854,                 1.5591,                 1.2381,             0.00071822,             0.00071822,             0.00071822
                    108,                 1.1973,                 0.9035,                 1.1087,                0.51327,                0.46549,                0.49676,                0.23874,                  1.854,                 1.5591,                 1.2381,             0.00071642,             0.00071642,             0.00071642
                    109,                 1.2826,                0.95236,                 1.1303,                0.51327,                0.46549,                0.49676,                0.23874,                  1.854,                 1.5591,                 1.2381,             0.00071462,             0.00071462,             0.00071462
                    110,                 1.3112,                0.94079,                 1.1015,                0.50955,                 0.4729,                0.51317,                0.25172,                 1.7467,                  1.454,                 1.2069,             0.00071282,             0.00071282,             0.00071282
                    111,                 1.3761,                0.89922,                  1.143,                0.50955,                 0.4729,                0.51317,                0.25172,                 1.7467,                  1.454,                 1.2069,             0.00071102,             0.00071102,             0.00071102
                    112,                  1.342,                0.96551,                 1.1616,                0.50955,                 0.4729,                0.51317,                0.25172,                 1.7467,                  1.454,                 1.2069,             0.00070922,             0.00070922,             0.00070922
